Year,Basin,Location,Month,Min,Mean,Max,Type,Lat,Long,Notes
2017,White-Hat,Chadron Creek (Below Discharge),March,39.407,46.59151647,54.604,Coolwater,42.70951,-103.0094,
2017,White-Hat,Chadron Creek (Below Discharge),April,42.433,50.18137882,59.745,Coolwater,42.70951,-103.0094,
2017,White-Hat,Chadron Creek (Below Discharge),May,44.946,53.79316767,64.974,Coolwater,42.70951,-103.0094,
2017,White-Hat,Chadron Creek (Below Discharge),June,51.94,59.37543472,67.757,Coolwater,42.70951,-103.0094,
2017,White-Hat,Chadron Creek (Below Discharge),July,55.472,64.90918179,72.221,Coolwater,42.70951,-103.0094,
2017,White-Hat,Chadron Creek (Below Discharge),August,58.368,62.37528663,67.671,Coolwater,42.70951,-103.0094,
2017,White-Hat,Chadron Creek (Below Discharge),September,51.062,57.60805556,62.62,Coolwater,42.70951,-103.0094,
2017,White-Hat,Chadron Creek (Below Discharge),October,43.306,50.5598498,56.469,Coolwater,42.70951,-103.0094,
2017,White-Hat,Chadron Creek (Below Discharge),November,42.433,45.85348736,48.717,Coolwater,42.70951,-103.0094,
2017,White-Hat,Chadron Creek (Below Discharge),December,NA,NA,NA,Coolwater,42.70951,-103.0094,Lost
2018,White-Hat,Chadron Creek (Below Discharge),January,NA,NA,NA,Coolwater,42.70951,-103.0094,
2018,White-Hat,Chadron Creek (Below Discharge),February,NA,NA,NA,Coolwater,42.70951,-103.0094,
2018,White-Hat,Chadron Creek (Below Discharge),March,NA,NA,NA,Coolwater,42.70951,-103.0094,
2018,White-Hat,Chadron Creek (Below Discharge),April,NA,NA,NA,Coolwater,42.70951,-103.0094,
2018,White-Hat,Chadron Creek (Below Discharge),May,NA,NA,NA,Coolwater,42.70951,-103.0094,
2018,White-Hat,Chadron Creek (Below Discharge),June,NA,NA,NA,Coolwater,42.70951,-103.0094,
2018,White-Hat,Chadron Creek (Below Discharge),July,NA,NA,NA,Coolwater,42.70951,-103.0094,
2018,White-Hat,Chadron Creek (Below Discharge),August,NA,NA,NA,Coolwater,42.70951,-103.0094,
2018,White-Hat,Chadron Creek (Below Discharge),September,NA,NA,NA,Coolwater,42.70951,-103.0094,
2018,White-Hat,Chadron Creek (Below Discharge),October,NA,NA,NA,Coolwater,42.70951,-103.0094,
2018,White-Hat,Chadron Creek (Below Discharge),November,NA,NA,NA,Coolwater,42.70951,-103.0094,
2018,White-Hat,Chadron Creek (Below Discharge),December,NA,NA,NA,Coolwater,42.70951,-103.0094,
2019,White-Hat,Chadron Creek (Below Discharge),January,NA,NA,NA,Coolwater,42.70951,-103.0094,
2019,White-Hat,Chadron Creek (Below Discharge),February,NA,NA,NA,Coolwater,42.70951,-103.0094,
2019,White-Hat,Chadron Creek (Below Discharge),March,NA,NA,NA,Coolwater,42.70951,-103.0094,
2019,White-Hat,Chadron Creek (Below Discharge),April,NA,NA,NA,Coolwater,42.70951,-103.0094,
2019,White-Hat,Chadron Creek (Below Discharge),May,NA,NA,NA,Coolwater,42.70951,-103.0094,
2019,White-Hat,Chadron Creek (Below Discharge),June,NA,NA,NA,Coolwater,42.70951,-103.0094,
2019,White-Hat,Chadron Creek (Below Discharge),July,NA,NA,NA,Coolwater,42.70951,-103.0094,
2019,White-Hat,Chadron Creek (Below Discharge),August,NA,NA,NA,Coolwater,42.70951,-103.0094,
2019,White-Hat,Chadron Creek (Below Discharge),September,NA,NA,NA,Coolwater,42.70951,-103.0094,
2019,White-Hat,Chadron Creek (Below Discharge),October,NA,NA,NA,Coolwater,42.70951,-103.0094,
2019,White-Hat,Chadron Creek (Below Discharge),November,NA,NA,NA,Coolwater,42.70951,-103.0094,
2019,White-Hat,Chadron Creek (Below Discharge),December,NA,NA,NA,Coolwater,42.70951,-103.0094,
2020,White-Hat,Chadron Creek (Below Discharge),January,NA,NA,NA,Coolwater,42.70951,-103.0094,
2020,White-Hat,Chadron Creek (Below Discharge),February,NA,NA,NA,Coolwater,42.70951,-103.0094,
2020,White-Hat,Chadron Creek (Below Discharge),March,NA,NA,NA,Coolwater,42.70951,-103.0094,
2020,White-Hat,Chadron Creek (Below Discharge),April,NA,NA,NA,Coolwater,42.70951,-103.0094,
