Date,Temp
6/16/2017,55.256
6/16/2017,55.125
6/16/2017,55.038
6/16/2017,54.952
6/16/2017,54.909
6/16/2017,54.909
6/16/2017,54.865
6/16/2017,54.865
6/16/2017,54.952
6/16/2017,54.995
6/16/2017,55.081
6/16/2017,55.213
6/16/2017,55.342
6/16/2017,55.515
6/16/2017,55.69
6/16/2017,55.906
6/16/2017,56.165
6/16/2017,56.426
6/16/2017,56.728
6/16/2017,57.074
6/16/2017,57.247
6/16/2017,57.592
6/16/2017,57.979
6/16/2017,58.325
6/16/2017,58.755
6/16/2017,59.229
6/16/2017,59.616
6/16/2017,60.046
6/16/2017,60.561
6/16/2017,60.904
6/16/2017,61.376
6/16/2017,61.761
6/16/2017,62.019
6/16/2017,62.233
6/16/2017,62.447
6/16/2017,62.62
6/16/2017,62.875
6/16/2017,63.304
6/16/2017,63.604
6/16/2017,63.819
6/16/2017,64.033
6/16/2017,64.204
6/16/2017,64.332
6/16/2017,64.418
6/16/2017,64.503
6/16/2017,64.546
6/16/2017,64.503
6/16/2017,64.459
6/16/2017,64.418
6/16/2017,64.375
6/16/2017,64.288
6/16/2017,64.204
6/16/2017,64.074
6/16/2017,63.946
6/16/2017,63.819
6/16/2017,63.648
6/16/2017,63.475
6/16/2017,63.304
6/16/2017,63.133
6/16/2017,62.962
6/16/2017,62.704
6/16/2017,62.49
6/16/2017,62.233
6/16/2017,62.019
6/16/2017,61.804
6/16/2017,61.59
6/16/2017,61.419
6/16/2017,61.29
6/16/2017,61.162
6/16/2017,61.032
6/17/2017,60.904
6/17/2017,60.775
6/17/2017,60.604
6/17/2017,60.474
6/17/2017,60.303
6/17/2017,60.089
6/17/2017,59.916
6/17/2017,59.702
6/17/2017,59.529
6/17/2017,59.358
6/17/2017,59.185
6/17/2017,59.014
6/17/2017,58.885
6/17/2017,58.755
6/17/2017,58.626
6/17/2017,58.498
6/17/2017,58.368
6/17/2017,58.195
6/17/2017,58.066
6/17/2017,57.979
6/17/2017,57.85
6/17/2017,57.765
6/17/2017,57.679
6/17/2017,57.549
6/17/2017,57.463
6/17/2017,57.42
6/17/2017,57.333
6/17/2017,57.247
6/17/2017,57.204
6/17/2017,57.16
6/17/2017,57.117
6/17/2017,57.031
6/17/2017,56.988
6/17/2017,56.944
6/17/2017,56.858
6/17/2017,56.858
6/17/2017,56.815
6/17/2017,56.772
6/17/2017,56.772
6/17/2017,56.772
6/17/2017,56.815
6/17/2017,56.858
6/17/2017,56.944
6/17/2017,57.031
6/17/2017,57.16
6/17/2017,57.204
6/17/2017,57.29
6/17/2017,57.333
6/17/2017,57.333
6/17/2017,57.376
6/17/2017,57.376
6/17/2017,57.463
6/17/2017,57.463
6/17/2017,57.549
6/17/2017,57.636
6/17/2017,57.722
6/17/2017,57.765
6/17/2017,57.807
6/17/2017,57.85
6/17/2017,57.893
6/17/2017,57.979
6/17/2017,58.066
6/17/2017,58.325
6/17/2017,58.541
6/17/2017,58.755
6/17/2017,58.971
6/17/2017,59.185
6/17/2017,59.401
6/17/2017,59.572
6/17/2017,59.745
6/17/2017,59.83
6/17/2017,59.916
6/17/2017,59.959
6/17/2017,59.959
6/17/2017,59.916
